,multivariate_choice,univariate_choice
0,3.5714285714285716,4.742857142857143
1,3.5428571428571427,3.085714285714286
2,4.085714285714285,3.0285714285714285
3,4.0,4.228571428571429
4,3.857142857142857,3.1714285714285713
5,2.7142857142857144,4.2
6,3.5428571428571427,3.342857142857143
7,3.342857142857143,3.142857142857143
8,4.0,3.6857142857142855
9,4.0285714285714285,3.7142857142857144
10,4.485714285714286,4.057142857142857
11,4.285714285714286,3.5142857142857142
12,4.257142857142857,3.342857142857143
13,4.0285714285714285,3.8
14,4.142857142857143,4.8
15,4.742857142857143,4.742857142857143
16,4.6571428571428575,3.6
17,2.142857142857143,2.6285714285714286
18,2.4,2.657142857142857
19,4.628571428571429,4.371428571428571
20,4.428571428571429,2.257142857142857
