,multivariate_choice,univariate_choice
0,3.657142857142857,4.0285714285714285
1,3.914285714285714,2.6285714285714286
2,3.8,3.7714285714285714
3,4.6,3.4857142857142858
4,3.4,4.6
5,2.942857142857143,4.171428571428572
6,3.2857142857142856,4.171428571428572
7,3.742857142857143,2.8285714285714287
8,3.6,3.8857142857142857
9,3.8285714285714287,4.6
10,4.485714285714286,4.428571428571429
11,3.8,3.942857142857143
12,3.5714285714285716,4.457142857142857
13,4.257142857142857,3.4285714285714284
14,4.485714285714286,4.314285714285714
15,3.8,3.7142857142857144
16,3.7714285714285714,4.457142857142857
17,2.4857142857142858,1.3142857142857143
18,2.5428571428571427,2.914285714285714
19,4.628571428571429,3.942857142857143
20,4.285714285714286,4.428571428571429
