,multivariate_choice,univariate_choice
0,4.285714285714286,4.085714285714285
1,4.285714285714286,4.285714285714286
2,4.257142857142857,4.228571428571429
3,4.8,4.371428571428571
4,3.8857142857142857,2.8
5,4.085714285714285,3.6
6,3.257142857142857,4.2
7,2.7714285714285714,3.3142857142857145
8,4.714285714285714,3.2857142857142856
9,3.7142857142857144,3.6857142857142855
10,4.4,5.571428571428571
11,3.5714285714285716,3.5714285714285716
12,4.2,3.7714285714285714
13,3.914285714285714,3.6
14,4.457142857142857,3.7714285714285714
15,4.828571428571428,4.2
16,4.2,3.5714285714285716
17,1.8285714285714285,2.4571428571428573
18,2.4285714285714284,2.7714285714285714
19,4.257142857142857,3.5142857142857142
20,3.914285714285714,3.4
