   ,multivariate_choice ,univariate_choice
0  ,8.0                 ,4.0
1  ,8.0                 ,4.0
2  ,9.0                 ,4.0
3  ,8.0                 ,4.0
4  ,1.0                 ,4.0
5  ,0.0                 ,4.0
6  ,0.0                 ,4.0
7  ,0.0                 ,4.0
8  ,0.0                 ,4.0
9  ,0.0                 ,4.0
10 ,9.0                 ,3.0
11 ,6.0                 ,4.0
12 ,6.0                 ,4.0
13 ,0.0                 ,3.0
14 ,0.0                 ,4.0
15 ,9.0                 ,4.0
16 ,8.0                 ,4.0
17 ,1.0                 ,2.0
18 ,7.0                 ,3.0
19 ,8.0                 ,5.0
20 ,7.0                 ,4.0
