   ,multivariate_choice ,univariate_choice
0  ,9.0                 ,4.0
1  ,8.0                 ,4.0
2  ,8.0                 ,3.0
3  ,8.0                 ,5.0
4  ,1.0                 ,4.0
5  ,0.0                 ,5.0
6  ,0.0                 ,4.0
7  ,0.0                 ,3.0
8  ,0.0                 ,4.0
9  ,0.0                 ,5.0
10 ,9.0                 ,4.0
11 ,5.0                 ,5.0
12 ,7.0                 ,4.0
13 ,1.0                 ,3.0
14 ,0.0                 ,4.0
15 ,9.0                 ,5.0
16 ,8.0                 ,4.0
17 ,1.0                 ,2.0
18 ,7.0                 ,2.0
19 ,7.0                 ,4.0
20 ,8.0                 ,4.0
